locationId,rate,2015,2016,2017
0,Total de hechos delictivos,1568084,1502676,1493733
0,Total de víctimas de delitos contra las personas,376619,332422,344243
0,Total de víctimas de homicidios dolosos,2837,2625,2279
0,Total de víctimas de lesiones dolosas,189830,149077,159961
0,Total de víctimas de muertes en siniestros viales,4340,4252,4776
0,Total de víctimas de lesiones culposas en siniestros viales,98095,104667,112394
0,Total de víctimas de violaciones,3746,3717,3921
0,Total de víctimas de otros delitos contra la integridad sexual,13520,9266,11213
0,Total de hechos de amenazas,193944,169351,177347
0,Total de delitos contra la propiedad,862330,852084,803636
0,Total de hechos de robos,443033,437078,405361
0,Total de hechos de hurtos,271921,272128,254581
0,Total de víctimas de trata de personas por provincia de origen,1058,709,1386
0,Total de víctimas de trata de personas por provincia de captación,1058,709,1386
06,Total de hechos delictivos,385575,350702,378956
06,Total de víctimas de delitos contra las personas,108480,87013,88958
06,Total de víctimas de homicidios dolosos,1240,1150,992
06,Total de víctimas de lesiones dolosas,60557,36333,37098
06,Total de víctimas de muertes en siniestros viales,991,1007,1142
06,Total de víctimas de lesiones culposas en siniestros viales,30954,39427,43975
06,Total de víctimas de violaciones,747,1185,1263
06,Total de víctimas de otros delitos contra la integridad sexual,4665,1314,1371
06,Total de hechos de amenazas,59629,41163,43152
06,Total de delitos contra la propiedad,170102,166608,169221
06,Total de hechos de robos,81703,81604,82123
06,Total de hechos de hurtos,52057,53528,52739
06,Total de víctimas de trata de personas por provincia de origen,26,8,22
06,Total de víctimas de trata de personas por provincia de captación,16,4,1
06854,Total de hechos delictivos,299,265,255
06854,Total de víctimas de delitos contra las personas,37,61,54
06854,Total de víctimas de homicidios dolosos,1,1,0
06854,Total de víctimas de lesiones dolosas,3,12,16
06854,Total de víctimas de muertes en siniestros viales,5,6,3
06854,Total de víctimas de lesiones culposas en siniestros viales,23,26,34
06854,Total de víctimas de violaciones,1,8,4
06854,Total de víctimas de otros delitos contra la integridad sexual,20,3,2
06854,Total de hechos de amenazas,22,13,13
06854,Total de delitos contra la propiedad,164,104,88
06854,Total de hechos de robos,55,32,17
06854,Total de hechos de hurtos,65,48,41
06854,Total de víctimas de trata de personas por provincia de origen,,,
06854,Total de víctimas de trata de personas por provincia de captación,,,
06588,Total de hechos delictivos,522,711,806
06588,Total de víctimas de delitos contra las personas,176,196,215
06588,Total de víctimas de homicidios dolosos,1,1,1
06588,Total de víctimas de lesiones dolosas,102,88,77
06588,Total de víctimas de muertes en siniestros viales,2,5,2
06588,Total de víctimas de lesiones culposas en siniestros viales,49,93,127
06588,Total de víctimas de violaciones,0,17,9
06588,Total de víctimas de otros delitos contra la integridad sexual,25,2,0
06588,Total de hechos de amenazas,63,50,67
06588,Total de delitos contra la propiedad,249,411,378
06588,Total de hechos de robos,78,121,83
06588,Total de hechos de hurtos,108,204,180
06588,Total de víctimas de trata de personas por provincia de origen,,,
06588,Total de víctimas de trata de personas por provincia de captación,,,
06007,Total de hechos delictivos,177,182,116
06007,Total de víctimas de delitos contra las personas,52,47,23
06007,Total de víctimas de homicidios dolosos,0,1,0
06007,Total de víctimas de lesiones dolosas,31,27,15
06007,Total de víctimas de muertes en siniestros viales,0,0,3
06007,Total de víctimas de lesiones culposas en siniestros viales,0,18,5
06007,Total de víctimas de violaciones,0,1,4
06007,Total de víctimas de otros delitos contra la integridad sexual,0,3,2
06007,Total de hechos de amenazas,45,32,14
06007,Total de delitos contra la propiedad,67,50,29
06007,Total de hechos de robos,8,8,2
06007,Total de hechos de hurtos,19,13,11
06007,Total de víctimas de trata de personas por provincia de origen,,,
06007,Total de víctimas de trata de personas por provincia de captación,,,
06014,Total de hechos delictivos,285,263,265
06014,Total de víctimas de delitos contra las personas,78,87,83
06014,Total de víctimas de homicidios dolosos,1,0,0
06014,Total de víctimas de lesiones dolosas,29,40,42
06014,Total de víctimas de muertes en siniestros viales,0,0,0
06014,Total de víctimas de lesiones culposas en siniestros viales,38,44,37
06014,Total de víctimas de violaciones,0,1,0
06014,Total de víctimas de otros delitos contra la integridad sexual,0,1,0
06014,Total de hechos de amenazas,31,39,39
06014,Total de delitos contra la propiedad,160,99,102
06014,Total de hechos de robos,30,24,28
06014,Total de hechos de hurtos,64,34,26
06014,Total de víctimas de trata de personas por provincia de origen,,,
06014,Total de víctimas de trata de personas por provincia de captación,,,
06021,Total de hechos delictivos,186,173,150
06021,Total de víctimas de delitos contra las personas,41,69,59
06021,Total de víctimas de homicidios dolosos,0,0,0
06021,Total de víctimas de lesiones dolosas,25,10,11
06021,Total de víctimas de muertes en siniestros viales,1,2,1
06021,Total de víctimas de lesiones culposas en siniestros viales,14,54,43
06021,Total de víctimas de violaciones,0,1,3
06021,Total de víctimas de otros delitos contra la integridad sexual,8,1,0
06021,Total de hechos de amenazas,24,16,16
06021,Total de delitos contra la propiedad,39,29,28
06021,Total de hechos de robos,8,2,3
06021,Total de hechos de hurtos,14,15,12
06021,Total de víctimas de trata de personas por provincia de origen,,,
06021,Total de víctimas de trata de personas por provincia de captación,,,
06028,Total de hechos delictivos,12453,9482,9825
06028,Total de víctimas de delitos contra las personas,3932,2406,2287
06028,Total de víctimas de homicidios dolosos,43,54,45
06028,Total de víctimas de lesiones dolosas,2722,1052,1042
06028,Total de víctimas de muertes en siniestros viales,15,14,20
06028,Total de víctimas de lesiones culposas en siniestros viales,587,937,919
06028,Total de víctimas de violaciones,5,32,38
06028,Total de víctimas de otros delitos contra la integridad sexual,264,77,37
06028,Total de hechos de amenazas,2097,1256,1298
06028,Total de delitos contra la propiedad,4441,4143,4586
06028,Total de hechos de robos,2355,2204,2403
06028,Total de hechos de hurtos,1225,1135,1262
06028,Total de víctimas de trata de personas por provincia de origen,,,
06028,Total de víctimas de trata de personas por provincia de captación,,,
06077,Total de hechos delictivos,1111,1077,1228
06077,Total de víctimas de delitos contra las personas,322,280,353
06077,Total de víctimas de homicidios dolosos,1,1,1
06077,Total de víctimas de lesiones dolosas,224,121,134
06077,Total de víctimas de muertes en siniestros viales,3,4,3
06077,Total de víctimas de lesiones culposas en siniestros viales,61,117,199
06077,Total de víctimas de violaciones,0,7,7
06077,Total de víctimas de otros delitos contra la integridad sexual,9,1,4
06077,Total de hechos de amenazas,179,112,121
06077,Total de delitos contra la propiedad,516,555,597
06077,Total de hechos de robos,153,195,184
06077,Total de hechos de hurtos,191,195,236
06077,Total de víctimas de trata de personas por provincia de origen,,,
06077,Total de víctimas de trata de personas por provincia de captación,,,
06035,Total de hechos delictivos,9136,9350,9988
06035,Total de víctimas de delitos contra las personas,2690,2065,2182
06035,Total de víctimas de homicidios dolosos,30,23,30
06035,Total de víctimas de lesiones dolosas,1530,668,672
06035,Total de víctimas de muertes en siniestros viales,8,14,15
06035,Total de víctimas de lesiones culposas en siniestros viales,435,1151,1324
06035,Total de víctimas de violaciones,17,24,30
06035,Total de víctimas de otros delitos contra la integridad sexual,65,47,47
06035,Total de hechos de amenazas,1877,1125,1125
06035,Total de delitos contra la propiedad,3837,5104,5344
06035,Total de hechos de robos,1963,2895,3156
06035,Total de hechos de hurtos,900,1387,1397
06035,Total de víctimas de trata de personas por provincia de origen,,,
06035,Total de víctimas de trata de personas por provincia de captación,,,
06042,Total de hechos delictivos,105,156,206
